image_id,score,gt_count,spam_count
000000098514,0.9995225906936961,7,0
000000048791,0.9993710588718954,9,0
000000125586,0.999339511295886,3,0
000000301195,0.9993772034626788,6,0
000000228215,0.9992688615496124,6,0
000000029327,0.9993725485648616,3,0
000000297146,0.9993738819542417,5,0
000000193629,0.998629778632485,1,0
000000572362,0.6664413210006908,6,0
000000159592,0.9990546263691966,3,0
000000194407,0.9996718983493584,2,0
000000572671,0.8328775258075248,6,0
000000098801,0.7999022051567402,5,0
000000369418,0.9988611126387347,3,0
000000334714,0.9995278314959894,4,0
000000258476,0.999491675571748,5,0
000000125213,0.998969650397239,5,0
000000022087,0.6662347176184721,3,0
000000406988,0.9991934283714007,6,0
000000474543,0.9992944589629026,4,0
000000203210,0.9995113678144195,5,0
000000434746,0.9993992086472947,5,0
000000372199,0.9987507363002018,5,0
000000506411,0.9993810745398021,9,0
000000239037,0.9992978714995597,7,0
000000094392,0.9992028639927625,3,0
000000385145,0.9984957952163755,5,0
000000547846,0.4997769356682714,2,0
000000197444,0.9984591897072591,3,0
000000399558,0.9994818954707743,3,0
000000200978,0.999026972093551,4,0
000000098437,0.9992256322884017,4,0
000000002536,0.9989016885804567,7,0
000000480065,0.9992877023701446,3,0
000000396845,0.9991612446331951,6,0
000000472455,0.9994118425714603,4,0
000000181386,0.833207943854443,6,0
000000375304,0.9993472362637668,5,0
000000180541,0.9995539921527447,7,0
000000173221,0.9993721949197389,5,0
000000207083,0.9991584492088058,3,0
000000073045,0.9997134817782353,7,0
000000174157,0.9993658158448443,3,0
000000002270,0.85662439211812,7,0
000000453558,0.9990976749008372,6,0
000000132420,0.9994084738956276,7,0
000000378278,0.999116552912831,5,0
000000064794,0.9995893552802927,6,0
000000468346,0.9995720523208985,6,0
000000280622,0.99965772781139,7,0
000000099567,0.9965220767975336,7,0
000000247259,0.999295756610339,7,0
000000292993,0.9995605616276083,6,0
000000389232,0.9989945756894063,5,0
000000059123,0.9992992195628713,10,0
000000565002,0.9990235965283084,5,0
000000219848,0.749236818129798,4,0
000000277795,0.9989942793030762,9,0
000000077680,0.999369459027364,4,0
000000346795,0.99946742205404,5,0
000000535393,0.999397402082544,5,0
000000226974,0.9990465331469932,3,0
000000163777,0.9991518933340325,9,0
000000446585,0.9992739494115385,3,0
000000445621,0.7498280623366015,4,0
000000047599,0.9994581396514114,4,0
000000145793,0.9989520262880044,3,0
000000260525,0.6664890962566486,3,0
000000406147,0.9991624763549461,6,0
000000574579,0.9994290753932001,4,0
000000564508,0.9991525409327735,2,0
000000323116,0.9992866560609739,7,0
000000397143,0.9989630956379589,5,0
000000017613,0.9999245916050984,2,0
000000252147,0.9995145825837823,5,0
000000480797,0.9990815267693051,7,0
000000423932,0.9993167573288719,9,0
000000425201,0.9997037828580766,4,0
000000405365,0.9997173779874704,5,0
000000163728,0.9997340334314259,3,0
000000222635,0.9949351588892954,6,0
000000540882,0.9990404449952353,4,0
000000402788,0.9998129420845493,6,0
000000217989,0.9989875701012256,4,0
000000019358,0.999321455295413,3,0
000000331697,0.9967631424330385,5,0
000000027569,0.9989044022946704,2,0
000000116722,0.9995974754197928,3,0
000000104053,0.9934065261582926,6,0
000000107140,0.9989365809350079,7,0
000000178430,0.9995682577890692,7,0
000000392039,0.9992735985968701,5,0
000000384007,0.9993330818850875,6,0
000000110758,0.8744086838632199,8,0
000000248580,0.9996255135362553,5,0
000000575227,0.9989657100964469,5,0
000000426762,0.9988154999988464,7,0
000000009983,0.9994372205335488,6,0
000000411668,0.49970094258674114,2,0
000000385903,0.9995087004563622,7,0
000000019385,0.8994514701133578,10,0
000000418557,0.9990981852208153,8,0
000000001171,0.7480509472378479,4,0
000000428830,0.9989062562669672,7,0
000000116803,0.998917075414471,5,0
000000376084,0.9979448959816495,5,0
000000054949,0.9992702582308736,8,0
000000051642,0.9982003612692883,5,0
000000247945,0.9981418261014158,5,0
000000109011,0.9995393513781776,4,0
000000290812,0.9991580611060503,4,0
000000300718,0.9992404936427058,6,0
000000350081,0.9996280822954828,7,0
000000395185,0.999018276194001,4,0
000000475693,0.9998660227325828,5,0
000000482951,0.9994842803651316,7,0
000000154686,0.9993286536100348,6,0
000000567189,0.9993834396534519,7,0
000000428602,0.9991165558761903,4,0
000000160629,0.9995518306148576,8,0
000000159756,0.9988188414625098,5,0
000000150358,0.9991447928291448,4,0
000000477861,0.999309777025549,6,0
000000283557,0.99966955803822,7,0
000000228442,0.9994352693597714,6,0
000000119922,0.9992115053231482,7,0
000000019737,0.9994086786935661,5,0
000000095809,0.9992043589895359,9,0
000000065965,0.9993789531356045,4,0
000000414112,0.9993052824458687,3,0
000000325261,0.5995727991953486,5,0
000000350363,0.9994609960977032,4,0
000000213282,0.9974521895204135,7,0
000000158384,0.9995876510467693,3,0
000000208365,0.9996994952936817,3,0
000000581022,0.9994575810845863,5,0
000000430079,0.9996265088069741,5,0
000000438432,0.998621847049431,2,0
000000102989,0.9990625322614131,5,0
000000307249,0.9990447504501232,4,0
